score,Action,Adventure,Avant Garde,Award Winning,Boys Love,Comedy,Drama,Ecchi,Fantasy,Girls Love,Gourmet,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
6.92,9.0,4.0,0.0,0.0,1.0,15.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,17.0,3.0,7.0,0.0,9.0,1.0
6.93,5.0,1.0,0.0,0.0,2.0,13.0,10.0,4.0,4.0,0.0,0.0,1.0,2.0,12.0,2.0,6.0,0.0,6.0,0.0
6.94,6.0,1.0,0.0,0.0,2.0,10.0,6.0,4.0,6.0,0.0,0.0,1.0,2.0,11.0,1.0,0.0,1.0,4.0,1.0
6.95,7.0,2.0,0.0,0.0,1.0,8.0,4.0,1.0,7.0,2.0,1.0,3.0,2.0,10.0,1.0,6.0,0.0,8.0,0.0
6.96,8.0,2.0,0.0,0.0,1.0,10.0,8.0,0.0,9.0,2.0,0.0,3.0,5.0,11.0,4.0,5.0,0.0,7.0,1.0
6.97,1.0,3.0,0.0,0.0,1.0,20.0,7.0,5.0,9.0,1.0,0.0,1.0,1.0,13.0,1.0,6.0,1.0,7.0,0.0
6.98,4.0,2.0,0.0,1.0,0.0,11.0,10.0,0.0,7.0,2.0,0.0,0.0,1.0,14.0,0.0,8.0,0.0,3.0,0.0
6.99,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,5.0,0.0,1.0,0.0
7.0,9.0,1.0,0.0,0.0,1.0,15.0,7.0,2.0,4.0,0.0,0.0,1.0,2.0,10.0,4.0,4.0,0.0,7.0,0.0
7.01,2.0,2.0,1.0,0.0,1.0,7.0,5.0,3.0,3.0,0.0,0.0,1.0,2.0,7.0,2.0,2.0,0.0,3.0,0.0
7.02,7.0,3.0,0.0,0.0,0.0,6.0,4.0,6.0,3.0,0.0,0.0,0.0,2.0,13.0,3.0,0.0,0.0,1.0,0.0
7.03,7.0,2.0,0.0,0.0,0.0,14.0,9.0,5.0,11.0,3.0,1.0,0.0,1.0,14.0,1.0,2.0,2.0,7.0,0.0
7.04,11.0,2.0,0.0,0.0,0.0,7.0,11.0,1.0,7.0,1.0,0.0,0.0,3.0,8.0,4.0,1.0,1.0,5.0,0.0
7.05,5.0,2.0,0.0,2.0,0.0,10.0,9.0,1.0,9.0,2.0,0.0,0.0,1.0,11.0,0.0,2.0,2.0,5.0,0.0
7.06,7.0,3.0,0.0,0.0,3.0,13.0,9.0,3.0,8.0,0.0,1.0,2.0,4.0,14.0,2.0,8.0,0.0,6.0,0.0
7.07,6.0,3.0,0.0,0.0,1.0,11.0,6.0,4.0,7.0,1.0,0.0,0.0,1.0,8.0,4.0,5.0,0.0,5.0,0.0
7.08,7.0,4.0,0.0,0.0,1.0,15.0,12.0,3.0,10.0,1.0,0.0,0.0,3.0,14.0,1.0,4.0,1.0,8.0,0.0
7.09,4.0,2.0,0.0,0.0,0.0,13.0,7.0,3.0,8.0,4.0,2.0,0.0,2.0,12.0,3.0,6.0,0.0,7.0,1.0
7.1,3.0,3.0,0.0,0.0,2.0,11.0,4.0,0.0,4.0,1.0,0.0,1.0,1.0,9.0,1.0,4.0,1.0,7.0,0.0
7.11,4.0,1.0,0.0,0.0,1.0,10.0,4.0,1.0,8.0,1.0,0.0,1.0,3.0,11.0,1.0,2.0,0.0,4.0,0.0
7.12,5.0,2.0,0.0,0.0,0.0,5.0,8.0,2.0,10.0,0.0,0.0,1.0,2.0,9.0,3.0,1.0,0.0,7.0,0.0
